status,source_label,title,url,upload_date,published_at,subtitle_path,note
downloaded,硅谷 101,Token经济学：AI时代的新货币战争,https://www.youtube.com/watch?v=ppRvzPXGpEw,20260513,2026-05-13T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260513-token-ai.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260513-token-ai.txt
downloaded,Joe Lonsdale,Shawn Ryan & Palantir Co-Founder Debate the War in Iran,https://www.youtube.com/watch?v=QIa63fYcqvI,20260512,2026-05-12T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260512-shawn-ryan-palantir-co-founder-debate-the-war-in-iran.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260512-shawn-ryan-palantir-co-founder-debate-the-war-in-iran.txt
downloaded,硅谷 101,“AI弃子”CPU逆风翻盘：英特尔、AMD与ARM意料之外的一场胜利,https://www.youtube.com/watch?v=HLJdElh2tFc,20260511,2026-05-11T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260511-ai-cpu-amd-arm.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260511-ai-cpu-amd-arm.txt
downloaded,Ryan Peterman,"Harvard Professor: CS50, What Matters More Than Programming Now, Lecturing Well | David J Malan",https://www.youtube.com/watch?v=bB2o81DnKHk,20260511,2026-05-11T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260511-harvard-professor-cs50-what-matters-more-than-programming-now-lecturing-well-david-j-malan.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260511-harvard-professor-cs50-what-matters-more-than-programming-now-lecturing-well-david-j-malan.txt
downloaded,No Priors Podcast,Amex Global Business Travel: The World’s First AI Take Private with Long Lake CEO Alexander Taubman,https://www.youtube.com/watch?v=g5TWnUjbeFM,20260511,2026-05-11T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260511-amex-global-business-travel-the-world-s-first-ai-take-private-with-long-lake-ceo-alexander-taubman.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260511-amex-global-business-travel-the-world-s-first-ai-take-private-with-long-lake-ceo-alexander-taubman.txt
