status,source_label,title,url,upload_date,published_at,subtitle_path,note
downloaded,Every,How a Non-Engineer Uses Codex,https://www.youtube.com/watch?v=x9BNBcP_C7Q,20260506,2026-05-06T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260506-how-a-non-engineer-uses-codex.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260506-how-a-non-engineer-uses-codex.txt
downloaded,Ryan Peterman,Ex-Amazon VP: Why Bad Managers Don't Get Fired | Ethan Evans,https://www.youtube.com/watch?v=76v7xbi_USc,20260506,2026-05-06T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260506-ex-amazon-vp-why-bad-managers-don-t-get-fired-ethan-evans.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260506-ex-amazon-vp-why-bad-managers-don-t-get-fired-ethan-evans.txt
downloaded,Y Combinator,Harshil Mathur: AI Is Compressing Every Moat,https://www.youtube.com/watch?v=X5bABLCuIHA,20260506,2026-05-06T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260506-harshil-mathur-ai-is-compressing-every-moat.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260506-harshil-mathur-ai-is-compressing-every-moat.txt
downloaded,硅谷 101,吞噬爱马仕：豪门恩怨、世纪资本恶战与凭空消失的百亿股份,https://www.youtube.com/watch?v=jn_H3vuUC6E,20260505,2026-05-05T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260505-item.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260505-item.txt
downloaded,Every,How We Designed Monologue's Landing Page With Framer,https://www.youtube.com/watch?v=-4-sumlzoJs,20260505,2026-05-05T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260505-how-we-designed-monologue-s-landing-page-with-framer.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260505-how-we-designed-monologue-s-landing-page-with-framer.txt
downloaded,Machine Learning Street Talk,The AI Progress Chart Everyone Is Misreading — Beth Barnes & David Rein,https://www.youtube.com/watch?v=zSAGzfspuDE,20260504,2026-05-04T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260504-the-ai-progress-chart-everyone-is-misreading-beth-barnes-david-rein.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260504-the-ai-progress-chart-everyone-is-misreading-beth-barnes-david-rein.txt
downloaded,Ryan Peterman,"MSL Eng Director: Promo Hacking, Industry Shifts, Regrets | John Myles White",https://www.youtube.com/watch?v=aPfnP4iAIH8,20260504,2026-05-04T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260504-msl-eng-director-promo-hacking-industry-shifts-regrets-john-myles-white.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260504-msl-eng-director-promo-hacking-industry-shifts-regrets-john-myles-white.txt
downloaded,Peter Yang,Full Tutorial: 3 Layer System for Context Engineering in 40 Minutes | Ravi Mehta,https://www.youtube.com/watch?v=wUWljYoQN8g,20260503,2026-05-03T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260503-full-tutorial-3-layer-system-for-context-engineering-in-40-minutes-ravi-mehta.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260503-full-tutorial-3-layer-system-for-context-engineering-in-40-minutes-ravi-mehta.txt
downloaded,Lenny's Podcast,"Why taste is beating titles in the AI era | Max Schoening (Head of Product, Notion)",https://www.youtube.com/watch?v=mCO-D3pkviM,20260502,2026-05-02T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260502-why-taste-is-beating-titles-in-the-ai-era-max-schoening-head-of-product-notion.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260502-why-taste-is-beating-titles-in-the-ai-era-max-schoening-head-of-product-notion.txt
downloaded,No Priors Podcast,"Baseten CEO Tuhin Srivastava on Custom Models, and Building the Inference Cloud",https://www.youtube.com/watch?v=XAbKflCncDo,20260501,2026-05-01T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260501-baseten-ceo-tuhin-srivastava-on-custom-models-and-building-the-inference-cloud.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260501-baseten-ceo-tuhin-srivastava-on-custom-models-and-building-the-inference-cloud.txt
downloaded,Y Combinator,Recursion Is The Next Scaling Law In AI,https://www.youtube.com/watch?v=DGtUUMNYLcc,20260501,2026-05-01T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260501-recursion-is-the-next-scaling-law-in-ai.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260501-recursion-is-the-next-scaling-law-in-ai.txt
