status,source_label,title,url,upload_date,published_at,subtitle_path,note
downloaded,硅谷 101,走进数采工厂：深聊机器人数据荒漠、四层金字塔与种树人｜机器人特辑,https://www.youtube.com/watch?v=ZvHIuIIZ3Is,20260515,2026-05-15T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260515-item.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260515-item.txt
downloaded,No Priors Podcast,Pax Silica: Inside the Trump Administration’s Tech Strategy with Jacob Helberg,https://www.youtube.com/watch?v=xjlYpGaxIPA,20260514,2026-05-14T18:01:32+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260514-pax-silica-inside-the-trump-administration-s-tech-strategy-with-jacob-helberg.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260514-pax-silica-inside-the-trump-administration-s-tech-strategy-with-jacob-helberg.txt
error,Eric Schmidt,"Innovation, Investment, and Partnerships: Eric Schmidt at Milken 2026",https://www.youtube.com/watch?v=wMOfeRYTm2g,20260514,2026-05-14T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260514-innovation-investment-and-partnerships-eric-schmidt-at-milken-2026.txt,No public subtitles found.
downloaded,The Pragmatic Engineer,"TypeScript, C# and Turbo Pascal with Anders Hejlsberg",https://www.youtube.com/watch?v=K-Xv8D8NjTk,20260513,2026-05-13T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260513-typescript-c-and-turbo-pascal-with-anders-hejlsberg.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260513-typescript-c-and-turbo-pascal-with-anders-hejlsberg.txt
exists,硅谷 101,Token经济学：AI时代的新货币战争,https://www.youtube.com/watch?v=ppRvzPXGpEw,20260513,2026-05-13T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/raw/67e9be7a194d1590.txt,subtitle index reused
downloaded,Every,Claude Code Can Be Your Second Brain,https://www.youtube.com/watch?v=in7i-EVDDlk,20260513,2026-05-13T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260513-claude-code-can-be-your-second-brain.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260513-claude-code-can-be-your-second-brain.txt
downloaded,Google DeepMind,Reimagining a 50-year-old interface (the mouse pointer) with AI,https://www.youtube.com/watch?v=pZNzfQLgGsA,20260513,2026-05-13T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260513-reimagining-a-50-year-old-interface-the-mouse-pointer-with-ai.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260513-reimagining-a-50-year-old-interface-the-mouse-pointer-with-ai.txt
downloaded,Y Combinator,"Paul Graham, Founder of Y Combinator, Live from Stockholm",https://www.youtube.com/watch?v=QHJkUw31YX8,20260513,2026-05-13T22:30:29+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260513-paul-graham-founder-of-y-combinator-live-from-stockholm.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260513-paul-graham-founder-of-y-combinator-live-from-stockholm.txt
exists,Joe Lonsdale,Shawn Ryan & Palantir Co-Founder Debate the War in Iran,https://www.youtube.com/watch?v=QIa63fYcqvI,20260512,2026-05-12T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/raw/926e9647184069dc.txt,subtitle index reused
exists,硅谷 101,“AI弃子”CPU逆风翻盘：英特尔、AMD与ARM意料之外的一场胜利,https://www.youtube.com/watch?v=HLJdElh2tFc,20260511,2026-05-11T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/raw/02b6ba08d1358a8e.txt,subtitle index reused
exists,Ryan Peterman,"Harvard Professor: CS50, What Matters More Than Programming Now, Lecturing Well | David J Malan",https://www.youtube.com/watch?v=bB2o81DnKHk,20260511,2026-05-11T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/raw/1c1a125322e15be8.txt,subtitle index reused
exists,No Priors Podcast,Amex Global Business Travel: The World’s First AI Take Private with Long Lake CEO Alexander Taubman,https://www.youtube.com/watch?v=g5TWnUjbeFM,20260511,2026-05-11T18:01:04+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/raw/d83277c1ef7fd278.txt,subtitle index reused
