status,source_label,title,url,upload_date,published_at,subtitle_path,note
downloaded,Lenny's Podcast,"The single most important skill outside of AI | Jessica Fain (Webflow, ex-Slack)",https://www.youtube.com/watch?v=RP4vJeIb7WU,20260322,2026-03-22T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260322-the-single-most-important-skill-outside-of-ai-jessica-fain-webflow-ex-slack.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260322-the-single-most-important-skill-outside-of-ai-jessica-fain-webflow-ex-slack.txt
exists,The Pragmatic Engineer,Nicole Forsgren: Leading high-performing engineering teams in the age of AI - The Pragmatic Summit,https://www.youtube.com/watch?v=DfrAaDgFgjc,20260322,2026-03-22T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260322-nicole-forsgren-leading-high-performing-engineering-teams-in-the-age-of-ai-the-pragmatic-summit.txt,existing txt reused
exists,The Pragmatic Engineer,Product-minded engineers in an AI-native world,https://www.youtube.com/watch?v=0Cv5763UX70,20260322,2026-03-22T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260322-product-minded-engineers-in-an-ai-native-world.txt,existing txt reused
downloaded,Dwarkesh Patel,Terence Tao – How the world’s top mathematician uses AI,https://www.youtube.com/watch?v=Q8Fkpi18QXU,20260321,2026-03-21T00:29:48+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260321-terence-tao-how-the-world-s-top-mathematician-uses-ai.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260321-terence-tao-how-the-world-s-top-mathematician-uses-ai.txt
downloaded,The Pragmatic Engineer,Simon Willison: Engineering practices that make coding agents work - The Pragmatic Summit,https://www.youtube.com/watch?v=owmJyKVu5f8,20260319,2026-03-19T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260319-simon-willison-engineering-practices-that-make-coding-agents-work-the-pragmatic-summit.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260319-simon-willison-engineering-practices-that-make-coding-agents-work-the-pragmatic-summit.txt
downloaded,硅谷 101,英伟达GTC上，迪士尼“复活了”雪宝机器人【101 Shorts】,https://www.youtube.com/watch?v=HjopX519nXg,20260319,2026-03-19T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260319-gtc-101-shorts.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260319-gtc-101-shorts.txt
downloaded,South Park Commons,Granola's Sam Stephenson on Intentional Design and the Future of Notetaking,https://www.youtube.com/watch?v=jkKfZMgJZ28,20260319,2026-03-19T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260319-granola-s-sam-stephenson-on-intentional-design-and-the-future-of-notetaking.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260319-granola-s-sam-stephenson-on-intentional-design-and-the-future-of-notetaking.txt
downloaded,The Pragmatic Engineer,Building WhatsApp with Jean Lee,https://www.youtube.com/watch?v=5Kn32cIWPSY,20260318,2026-03-18T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260318-building-whatsapp-with-jean-lee.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260318-building-whatsapp-with-jean-lee.txt
downloaded,硅谷 101,滑雪金融化困局：“天才商业模式”通票的变革与反噬,https://www.youtube.com/watch?v=jnYWv_0MzBw,20260318,2026-03-18T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260318-item.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260318-item.txt
downloaded,a16z Deep Dives,America's $1 Trillion Deficit and The AI Plan to Fix It | Deep Dives with a16z,https://www.youtube.com/watch?v=OqS0w1h9lRs,20260318,2026-03-18T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260318-america-s-1-trillion-deficit-and-the-ai-plan-to-fix-it-deep-dives-with-a16z.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260318-america-s-1-trillion-deficit-and-the-ai-plan-to-fix-it-deep-dives-with-a16z.txt
error,Every,How Every Edits in the Age of AI,https://www.youtube.com/watch?v=Uif_qAcgnLk,20260318,2026-03-18T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260318-how-every-edits-in-the-age-of-ai.txt,No public subtitles found.
downloaded,Every,Naveen Is a Dictater,https://www.youtube.com/watch?v=dbSQippLw9o,20260317,2026-03-17T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260317-naveen-is-a-dictater.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260317-naveen-is-a-dictater.txt
