status,source_label,title,url,upload_date,published_at,subtitle_path,note
downloaded,Dwarkesh Patel,Building AlphaGo from scratch – Eric Jang,https://www.youtube.com/watch?v=X_ZVSPcZhtw,20260516,2026-05-16T00:20:46+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260516-building-alphago-from-scratch-eric-jang.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260516-building-alphago-from-scratch-eric-jang.txt
exists,硅谷 101,揭秘数采工厂：稀缺的机器人数据，到底难在哪儿？｜机器人特辑,https://www.youtube.com/watch?v=ZvHIuIIZ3Is,20260515,2026-05-15T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/raw/6eac6eda4b92dc54.txt,subtitle index reused
downloaded,Every,Codex Taught Me How to Play Piano,https://www.youtube.com/watch?v=JQLzSzDs3EY,20260515,2026-05-15T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260515-codex-taught-me-how-to-play-piano.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260515-codex-taught-me-how-to-play-piano.txt
