status,source_label,title,url,upload_date,published_at,subtitle_path,note
downloaded,Ryan Peterman,Turing Award Winner On Why Writing Improves Your Thinking | Leslie Lamport,https://www.youtube.com/watch?v=VEqOPjCPMJ8,20260325,2026-03-25T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260325-turing-award-winner-on-why-writing-improves-your-thinking-leslie-lamport.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260325-turing-award-winner-on-why-writing-improves-your-thinking-leslie-lamport.txt
downloaded,硅谷 101,深度解析2026 GTC：英伟达万亿订单背后的AI大爆发、Token经济学与失衡供应链,https://www.youtube.com/watch?v=B3wJuvYjLu0,20260324,2026-03-24T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260324-2026-gtc-ai-token.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260324-2026-gtc-ai-token.txt
downloaded,a16z Deep Dives,Chariot Defense CEO on the Missing Power Layer in War | a16z,https://www.youtube.com/watch?v=-awTbzrJLvs,20260324,2026-03-24T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260324-chariot-defense-ceo-on-the-missing-power-layer-in-war-a16z.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260324-chariot-defense-ceo-on-the-missing-power-layer-in-war-a16z.txt
