status,source_label,title,url,upload_date,published_at,subtitle_path,note
downloaded,a16z Deep Dives,Hadrian CEO on Rebuilding the American Industrial Base | Deep Dives with a16z,https://www.youtube.com/watch?v=hf4ZhtJmCyo,20260325,2026-03-25T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260325-hadrian-ceo-on-rebuilding-the-american-industrial-base-deep-dives-with-a16z.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260325-hadrian-ceo-on-rebuilding-the-american-industrial-base-deep-dives-with-a16z.txt
downloaded,Every,AI Makes Building Products Easy. Knowing What To Cut Is the Hard Part.,https://www.youtube.com/watch?v=KRv9GpJYrUA,20260325,2026-03-25T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260325-ai-makes-building-products-easy-knowing-what-to-cut-is-the-hard-part.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260325-ai-makes-building-products-easy-knowing-what-to-cut-is-the-hard-part.txt
exists,Ryan Peterman,Turing Award Winner On Why Writing Improves Your Thinking | Leslie Lamport,https://www.youtube.com/watch?v=VEqOPjCPMJ8,20260325,2026-03-25T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260325-turing-award-winner-on-why-writing-improves-your-thinking-leslie-lamport.txt,subtitle index reused
downloaded,Google DeepMind,Introducing Lyria 3 Pro,https://www.youtube.com/watch?v=hv8ZI7foGZk,20260325,2026-03-25T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260325-introducing-lyria-3-pro.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260325-introducing-lyria-3-pro.txt
