status,source_label,title,url,upload_date,published_at,subtitle_path,note
downloaded,Ryan Peterman,"The Co-Creator of Kubernetes On Convincing Google, Building It, and Scaling for LLMs",https://www.youtube.com/watch?v=FKijpCEH9D8,20260323,2026-03-23T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260323-the-co-creator-of-kubernetes-on-convincing-google-building-it-and-scaling-for-llms.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260323-the-co-creator-of-kubernetes-on-convincing-google-building-it-and-scaling-for-llms.txt
exists,Lenny's Podcast,The art of influence: The single most important skill left that AI can’t replace | Jessica Fain,https://www.youtube.com/watch?v=RP4vJeIb7WU,20260322,2026-03-22T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/briefs/raw/20260322-the-single-most-important-skill-outside-of-ai-jessica-fain-webflow-ex-slack.txt,subtitle index reused
exists,Peter Yang,How to Design and Code with Claude Code and Figma MCP in 50 Min | Felix Lee,https://www.youtube.com/watch?v=ydiMKfljb-I,20260322,2026-03-22T21:01:41+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/selected/raw/20260322-how-to-design-and-code-with-claude-code-and-figma-mcp-in-50-min-felix-lee.txt,subtitle index reused
