status,source_label,title,url,upload_date,published_at,subtitle_path,note
downloaded,Ryan Peterman,"Turing Award Winner: Data Abstraction, Dijkstra, Distributed Systems | Barbara Liskov",https://www.youtube.com/watch?v=T9CGjbPZeaM,20260427,2026-04-27T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260427-turing-award-winner-data-abstraction-dijkstra-distributed-systems-barbara-liskov.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260427-turing-award-winner-data-abstraction-dijkstra-distributed-systems-barbara-liskov.txt
downloaded,Lenny's Podcast,How to build a defensible company in the AI era | Evan Spiegel (Snapchat CEO),https://www.youtube.com/watch?v=-7Yol5vX5xw,20260426,2026-04-26T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260426-how-to-build-a-defensible-company-in-the-ai-era-evan-spiegel-snapchat-ceo.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260426-how-to-build-a-defensible-company-in-the-ai-era-evan-spiegel-snapchat-ceo.txt
downloaded,Peter Yang,How This Solo AI Founder Bootstrapped 5 Products to 1M+ / Month | Tibo Louis-Lucas,https://www.youtube.com/watch?v=0UnZnonMN9o,20260426,2026-04-26T21:00:01+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260426-how-this-solo-ai-founder-bootstrapped-5-products-to-1m-month-tibo-louis-lucas.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260426-how-this-solo-ai-founder-bootstrapped-5-products-to-1m-month-tibo-louis-lucas.txt
downloaded,Joe Lonsdale,How to Actually Leverage AI in Your Business,https://www.youtube.com/watch?v=dbJN0nvIqLg,20260426,2026-04-26T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260426-how-to-actually-leverage-ai-in-your-business.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260426-how-to-actually-leverage-ai-in-your-business.txt
downloaded,Y Combinator,Replit's CEO On The Only Two Jobs Left In The Company Of The Future,https://www.youtube.com/watch?v=kMYeTRqzAfc,20260425,2026-04-25T22:30:37+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260425-replit-s-ceo-on-the-only-two-jobs-left-in-the-company-of-the-future.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260425-replit-s-ceo-on-the-only-two-jobs-left-in-the-company-of-the-future.txt
downloaded,Y Combinator,How To Build A Company With AI From The Ground Up,https://www.youtube.com/watch?v=EN7frwQIbKc,20260424,2026-04-24T22:00:21+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260424-how-to-build-a-company-with-ai-from-the-ground-up.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260424-how-to-build-a-company-with-ai-from-the-ground-up.txt
downloaded,Peter Yang,GPT 5.5 and ChatGPT Images 2: Everything You Need to Know in 15 Minutes (4 Real Use Cases),https://www.youtube.com/watch?v=Op1TsX3eCtI,20260424,2026-04-24T09:48:35+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260424-gpt-5-5-and-chatgpt-images-2-everything-you-need-to-know-in-15-minutes-4-real-use-cases.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260424-gpt-5-5-and-chatgpt-images-2-everything-you-need-to-know-in-15-minutes-4-real-use-cases.txt
downloaded,Joe Lonsdale,From Wall Street King to Federal Prison: Michael Milken's Story,https://www.youtube.com/watch?v=dshFU7_SU5g,20260424,2026-04-24T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260424-from-wall-street-king-to-federal-prison-michael-milken-s-story.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260424-from-wall-street-king-to-federal-prison-michael-milken-s-story.txt
downloaded,Lenny's Podcast,"The new rules of AI product management | Cat Wu (Head of Product, Claude Code)",https://www.youtube.com/watch?v=PplmzlgE0kg,20260423,2026-04-23T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260423-the-new-rules-of-ai-product-management-cat-wu-head-of-product-claude-code.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260423-the-new-rules-of-ai-product-management-cat-wu-head-of-product-claude-code.txt
downloaded,硅谷 101,探秘全球最大私人金库：黄金东移潮、战争、衰退危机与“Plan B”,https://www.youtube.com/watch?v=7D_8zimKtB4,20260423,2026-04-23T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260423-plan-b.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260423-plan-b.txt
downloaded,a16z Deep Dives,Why Physical AI Is the Next Big Opportunity | Deep Dives with a16z,https://www.youtube.com/watch?v=faqaOVQ5Axk,20260423,2026-04-23T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260423-why-physical-ai-is-the-next-big-opportunity-deep-dives-with-a16z.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260423-why-physical-ai-is-the-next-big-opportunity-deep-dives-with-a16z.txt
downloaded,South Park Commons,How Replit Is Enabling a New Wave of Million-Dollar Founders | Amjad Masad & Haya Odeh,https://www.youtube.com/watch?v=7Doo2X9LPeY,20260423,2026-04-23T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260423-how-replit-is-enabling-a-new-wave-of-million-dollar-founders-amjad-masad-haya-odeh.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260423-how-replit-is-enabling-a-new-wave-of-million-dollar-founders-amjad-masad-haya-odeh.txt
downloaded,Every,We Tested GPT-5.5 for 3 Weeks. It's a Beast.,https://www.youtube.com/watch?v=GROt1Nd4asY,20260423,2026-04-23T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260423-we-tested-gpt-5-5-for-3-weeks-it-s-a-beast.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260423-we-tested-gpt-5-5-for-3-weeks-it-s-a-beast.txt
downloaded,No Priors Podcast,SAP: Bringing the ‘Operating System’ of a Company into the AI Era with CTO Philipp Herzig,https://www.youtube.com/watch?v=5u7AjPardvo,20260423,2026-04-23T18:00:18+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260423-sap-bringing-the-operating-system-of-a-company-into-the-ai-era-with-cto-philipp-herzig.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260423-sap-bringing-the-operating-system-of-a-company-into-the-ai-era-with-cto-philipp-herzig.txt
downloaded,Y Combinator,How to Make Claude Code Your AI Engineering Team,https://www.youtube.com/watch?v=wkv2ifxPpF8,20260423,2026-04-23T22:30:49+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260423-how-to-make-claude-code-your-ai-engineering-team.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260423-how-to-make-claude-code-your-ai-engineering-team.txt
downloaded,The Pragmatic Engineer,Designing Data-intensive Applications with Martin Kleppmann,https://www.youtube.com/watch?v=SVOrURyOu_U,20260422,2026-04-22T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260422-designing-data-intensive-applications-with-martin-kleppmann.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260422-designing-data-intensive-applications-with-martin-kleppmann.txt
downloaded,a16z Deep Dives,Outsmarting Uber: Why Bolt Wins in Europe | Deep Dives with a16z,https://www.youtube.com/watch?v=NxGe-GzMTzM,20260422,2026-04-22T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260422-outsmarting-uber-why-bolt-wins-in-europe-deep-dives-with-a16z.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260422-outsmarting-uber-why-bolt-wins-in-europe-deep-dives-with-a16z.txt
downloaded,Every,The AI Sandwich: Where Humans Excel in an AI World,https://www.youtube.com/watch?v=G0LTv8hQ5Cs,20260422,2026-04-22T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260422-the-ai-sandwich-where-humans-excel-in-an-ai-world.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260422-the-ai-sandwich-where-humans-excel-in-an-ai-world.txt
downloaded,Y Combinator,How Stripe Built Their New Website,https://www.youtube.com/watch?v=ypzNhwpmOD4,20260422,2026-04-22T22:01:37+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260422-how-stripe-built-their-new-website.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260422-how-stripe-built-their-new-website.txt
downloaded,Peter Yang,How to Build for AI Agents and a Claude Code Second Brain in 25 Min | Ryan Wiggins,https://www.youtube.com/watch?v=KzqpK1uCczw,20260422,2026-04-22T21:00:39+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260422-how-to-build-for-ai-agents-and-a-claude-code-second-brain-in-25-min-ryan-wiggins.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260422-how-to-build-for-ai-agents-and-a-claude-code-second-brain-in-25-min-ryan-wiggins.txt
downloaded,South Park Commons,The Future of Creative Collaboration,https://www.youtube.com/watch?v=8A0DsIt8fJw,20260421,2026-04-21T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260421-the-future-of-creative-collaboration.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260421-the-future-of-creative-collaboration.txt
downloaded,Every,"Introducing Monologue Notes: For Builders, Makers, Doers",https://www.youtube.com/watch?v=qeYtwxjP3tg,20260421,2026-04-21T08:00:00+08:00,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260421-introducing-monologue-notes-for-builders-makers-doers.txt,/Users/bytedance/Documents/my-projects/fepulse-articles/ai-interview-archive-data/20260421-introducing-monologue-notes-for-builders-makers-doers.txt
